file_last_modified_date,delivery_code_ref,orga_name,orga_code_ref,file_name,url,study_name,study_code_ref,delivery_name
"2024-06-18T18:28:40.217258+02:00","INVA-1080-7170","Invattur","INVA","Calvia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Calvia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:22.116621+02:00","INVA-1080-7170","Invattur","INVA","Torremolinos Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Torremolinos Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:50.745628+02:00","INVA-1080-7170","Invattur","INVA","Valencia Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Valencia Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:05.448038+02:00","INVA-1080-7170","Invattur","INVA","Sitges Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Sitges Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-06-18T18:28:14.440352+02:00","INVA-1080-7170","Invattur","INVA","Benidorm Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7170/Benidorm Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","3. Abril - Mayo 2024"
"2024-12-09T14:20:57.167618+01:00","INVA-1080-7958","Invattur","INVA","Valencia Comunidad Autonoma.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Valencia Comunidad Autonoma.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:48.331306+01:00","INVA-1080-7958","Invattur","INVA","Gandia Municipio.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Gandia Municipio.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:37.074910+01:00","INVA-1080-7958","Invattur","INVA","Alicante Centro.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Alicante Centro.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:21:05.191900+01:00","INVA-1080-7958","Invattur","INVA","Valencia Provincia.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Valencia Provincia.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
"2024-12-09T14:20:40.311024+01:00","INVA-1080-7958","Invattur","INVA","Elche.zip","https://download.flux-vision.orange-business.com/api_file/v1/INVA/INVA-1080/INVA-1080-7958/Elche.zip","Invattur - Generalitat Valenciana 2023","INVA-1080","6. Octubre y noviembre de 2024"
