ASW,EG,32.897306000,24.091071000
ASX,US,-90.88629000,46.585400000
ASY,US,-99.37823000,46.034500000
ASZ,PG,150.36543900,-6.007087300
ATA,PE,-77.59851030,-9.357669200
ATB,SD,35.062016710,16.767546150
ATC,BS,-75.67549670,24.622477900
ATD,SB,160.17321780,-9.618847800
ATE,US,-95.61989000,34.231270000
ATF,EC,-78.62875940,-1.242241300
ATG,PK,72.361091100,33.769532300
ATH,GR,23.734832400,37.975564800
ATI,UY,-56.46380780,-30.39841360
ATJ,MG,47.034667000,-19.87140300
ATK,US,-78.84492754,39.550083350
ATL,US,-84.34662035,33.925519400
ATM,BR,-52.20996100,-3.204065000
ATN,PG,152.44072850,-3.664173900
ATO,US,-75.37519683,40.602668150
ATP,PG,142.35943890,-3.151022200
ATQ,IN,74.873678800,31.634308300
ATR,MR,-13.05439280,20.518194300
ATS,US,-104.3976000,32.843260000
ATT,US,-162.2759600,60.862970000
ATU,US,-122.6369400,48.511450000
ATV,TD,18.339685700,13.212569100
ATW,US,-88.41714000,44.261780000
ATX,KZ,68.358472900,51.809962400
ATY,US,-97.10580000,44.900600000
ATZ,EG,31.200612260,27.175858300
AUA,AW,-114.5150800,32.665120000
AUB,BR,-64.32699350,-3.610269300
AUC,CO,-70.75777620,7.0851994000
AUD,AU,139.87076490,-18.54425685
AUE,EG,33.184745800,28.893373500
AUF,FR,3.5705790000,47.796128700
AUG,US,-75.58657640,41.399248200
AUH,AE,54.377401400,24.453835200
AUI,PG,143.06244650,-1.465731650
AUJ,PG,142.82253400,-4.218041000
AUK,US,-90.80939356,48.002913600
AUL,MH,171.17662400,8.1381881000
AUM,US,-98.66665204,29.682690750
AUN,US,-121.0788700,38.896200000
AUO,US,-85.48173000,32.608320000
AUP,PG,149.38790050,-9.930665400
AUQ,PF,-139.0381300,-9.803470000
AUR,FR,2.4433101000,44.928544100
AUS,US,-97.66715896,30.210966100
AUT,TL,125.58192300,-8.217932450
AUU,AU,141.77068490,-13.60206750
AUV,PG,148.43464770,-5.762521900
AUW,US,-89.63031000,44.959530000
AUX,BR,-48.20185970,-7.193241000
AUY,VU,169.82517600,-20.19376080
AUZ,US,-88.31613000,41.757100000
AVA,CN,105.94377730,26.254911000
AVB,IT,12.589113800,46.068543800
AVF,FR,6.7702857000,46.192543900
AVG,AU,130.00924710,-15.68343150
AVI,CU,-78.76020380,21.842043900
AVJ,ES,-4.700432800,40.656387300
AVK,MN,102.78631480,46.268188500
AVL,US,-82.55338000,35.598660000
AVN,FR,4.8059012000,43.949249300
AVO,US,-81.50663000,27.595610000
AVP,US,-75.87594000,41.243230000
AVR,PT,-9.039613600,38.893525300
AVU,SB,160.17321780,-9.618847800
MEL,AU,144.96317320,-37.81424540
TUS,US,-110.9697700,32.221770000
AVX,US,-76.50493000,38.291220000
AWA,ET,38.478610000,7.0481029000
AWB,PG,142.75334400,-8.012480100
AWD,VU,169.60091070,-19.24408120
AWE,GA,-75.12472000,40.225160000
AWK,US,-155.7614800,19.149380000
AWM,US,-90.19092000,35.146520000
AWN,AU,150.37667110,-23.29724170
AWP,AU,137.76727280,-20.50207855
AWR,PG,144.84210250,-4.143249300
AWZ,IR,48.679320000,31.323063700
AXA,AI,-63.04007270,18.217999700
AXB,US,-75.90929000,44.333700000
AXC,AU,145.24387090,-22.97102510
AXD,GR,25.875240000,40.845320000
AXE,BR,-52.40359640,-26.87486030
AXF,CN,105.66053930,38.832365000
AXG,US,-94.22749000,43.068870000
AXJ,JP,130.19304870,32.458512700
AXK,YE,46.845377600,14.527735400
AXL,AU,151.19212810,-33.90915680
AXM,CO,-75.67237510,4.5363070000
AXN,US,-95.36634000,45.889390000
AXP,BS,-73.98037180,22.432250000
AXR,PF,-146.3163300,-15.31321000
LTS,US,-99.33374000,34.637830000
AXT,JP,140.10346690,39.719762900
AXU,ET,38.732174900,14.122098200
AXV,US,-84.19476000,40.567890000
AXX,US,-105.2864300,36.395370000
AYA,CO,-75.14450220,8.3116711000
AYC,CO,-73.58643300,8.6003218000
AYD,AU,136.07179920,-19.29554610
AYG,CO,-75.35004149,3.7728298500
AYI,CO,-72.33878218,-0.514995100
AYK,KZ,66.914993000,50.253281000
AYL,AU,135.56077120,-17.98121060
AYN,CN,114.33633000,36.102355200
AYO,PY,-56.84471800,-27.38987390
AYP,PE,-74.22569730,-13.16042690
AYQ,AU,131.03696150,-25.34555450
AYR,AU,147.40446260,-19.57585970
AYS,US,-82.35845000,31.211350000
AYT,TR,30.702958500,36.886475200
AYU,PG,145.90415280,-6.341501800
AYW,ID,132.46466890,-1.156680500
AYX,PE,-77.61649820,-11.12732330
AYY,LK,81.830047600,6.8732418000
PHX,US,-122.6741940,45.520247100
AZB,PG,144.24890140,-5.681606800
AZD,IR,54.364239100,31.888267800
AZG,MX,-102.3537356,19.091379200
ZUJ,CN,119.42000690,32.189195900
AZL,BR,-58.81462350,-13.54795800
MFM,MO,113.53892000,22.184450000
AZN,UZ,68.241612500,40.610899900
AZO,US,-85.58768000,42.291590000
MEX,MX,-99.13317850,19.432629600
IBD,CN,116.67758560,23.356392100
AZR,DZ,-0.287488400,27.873380700
AZS,DO,-69.71060960,19.255441500
AZT,CO,-73.26865290,6.8166596000
AZZ,AO,13.106493000,-7.844312000
BAA,PG,151.03065830,-5.322189700
MYV,US,-121.5871700,39.144970000
BAC,CO,-72.96341500,4.5707393000
SHV,US,-93.74689000,32.514870000
BAE,FR,6.6513554000,44.386204300
SFY,US,-72.58929000,42.101250000
BAG,PH,120.59337100,16.411995500
BAH,BH,50.553168210,26.028040900
BAI,CR,-83.33115190,9.1726893000
BAJ,PG,142.92155460,-3.609689500
BAK,AZ,49.832800900,40.375588500
BAL,TR,41.127756500,37.883573800
BAM,US,-73.97721795,40.687255400
BAY,RO,23.571984300,47.656558400
BAP,PG,149.60139490,-10.36035290
BAQ,CO,-74.79271770,10.993869800
BAR,CN,110.47034450,19.259237300
BAS,SB,155.88388870,-6.991999600
BAT,BR,-48.56975090,-20.55314370
BRI,IT,16.862029300,41.125784300
BAV,CN,109.83438150,40.655019200
BAW,GA,11.689970000,-0.899969500
BAX,RU,83.778844800,53.347549300
BAZ,BR,-46.53905215,-23.51367470
BBA,CL,-71.69972250,-45.90939310
BBB,US,-95.60123000,45.315090000
BBC,US,-83.84114360,38.509068300
BBD,US,-99.33650000,31.134810000
BBE,AU,117.66031670,-27.34019210
BBU,ES,-0.129123100,38.536899600
BBG,KI,172.91886330,2.9205375000
BBH,DE,13.082084600,54.309631400
BBI,IN,85.839452100,20.260296400
BBJ,DE,6.5249470000,49.973276200
BBK,BW,25.156546000,-17.79923900
BBL,AU,141.67513420,-25.36736505
BBM,KH,103.19666590,13.099852600
BBN,MY,115.46037080,3.7479196000
BBO,SO,45.013400700,10.438621500
BBP,GB,-1.084934100,50.688704400
BBQ,AG,-61.84485090,17.118456900
BBR,GP,-61.73434000,15.998690000
BBS,GB,-1.944449100,50.940297700
BBT,CF,15.787782600,4.2593379000
BUH,RO,26.102720200,44.436141400
BBV,CI,-6.925345200,4.6471378000
BBW,US,-99.63970000,41.401770000
BBX,US,-75.26443000,40.155070000
BBY,CF,20.675570500,5.7680014000
BBZ,ZM,23.115207600,-13.55008340
BCA,CU,-74.49686470,20.347786900
BCB,US,-80.41090000,37.226530000
BCC,US,-86.54891500,39.131568750
BCD,PH,122.95137860,10.676283600
BCE,US,-113.6256500,37.207230000
BCF,CF,18.275862700,6.5086131000
BCG,GY,-81.78301000,37.630080000
BCH,TL,126.45856210,-8.465046200
BCI,AU,145.28732360,-23.55515510
BCK,AU,141.60371390,-38.28042700
BCL,CR,-83.59636580,10.771313200
BCM,RO,26.915355700,46.556049300
BCN,ES,2.1830001000,41.382999400
BCO,ET,36.565182200,5.7859931000
BCP,PG,146.49434780,-5.874195700
BCQ,LY,14.267560000,27.546810000
BCR,BR,-67.39308730,-8.755348700
BCS,US,-89.98780000,29.850690000
BCT,US,-80.08837000,26.350490000
BCU,NG,9.8454417000,10.314761800
BCV,BZ,-88.77001800,17.250199000
BCW,MZ,35.439746900,-21.87069510
BCX,RU,58.409954900,53.968070500
BCY,ET,36.616670000,6.1666700000
BCZ,AU,136.18210040,-13.75936440
BDA,BM,-64.77411213,32.302228200
BDB,AU,152.35167850,-24.86532530
BDC,BR,-45.24849600,-5.496823000
