DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,month,unit,geo,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2020,34748
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2021,22992
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2022,33108
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2023,43827
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL3,2024,54449
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2018,577
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2019,634
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2020,1160
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2021,336
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2022,1044
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2023,1666
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL62,2024,1545
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2018,2108
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2019,1937
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2020,4349
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2021,587
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2022,3953
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2023,6922
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,EL65,2024,5164
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2018,1935
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2019,2316
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2020,3984
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2021,1964
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2022,3770
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2023,4901
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES22,2024,6185
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2018,61973
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2019,65542
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2020,81622
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2021,39190
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2022,64205
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2023,81818
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES30,2024,108636
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2018,46351
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2019,47150
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2020,61734
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2021,32376
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2022,67452
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2023,75095
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES51,2024,84538
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2018,31793
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2019,38261
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2020,55720
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2021,23903
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2022,58484
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2023,65315
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES52,2024,82221
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2018,5484
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2019,5399
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2020,8335
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2021,5106
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2022,9764
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2023,9349
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES53,2024,10462
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2018,101756
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2019,120583
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2020,183873
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2021,45686
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2022,190974
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2023,219384
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES61,2024,264444
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2018,52870
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2019,54752
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2020,68023
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2021,42232
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2022,81610
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2023,94958
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,ES70,2024,112534
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2018,4325
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2019,5812
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2020,7900
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2021,7801
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2022,10176
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2023,12121
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,HR03,2024,14083
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2018,2717
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2019,2681
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2020,4818
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2021,3271
ESTAT:TOUR_CE_OMN12(1.0),03/10/24 11:00:00,A,LSTY,DOM,M02,NR,PT15,2022,5325
