DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,unit,cities,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES052C,2022,114990
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES052C,2023,124408
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES060C,2018,12277
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES060C,2019,16475
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES060C,2020,15268
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES060C,2021,21625
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES060C,2022,24147
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES060C,2023,27475
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES062C,2018,29774
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES062C,2019,40081
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES062C,2020,23249
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES062C,2021,40526
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES062C,2022,71889
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES062C,2023,87796
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES071C,2018,80261
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES071C,2019,105710
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES071C,2020,83225
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES071C,2021,115733
