CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LANGUAGE_KEY,LOAD_TIME
ATR,430,Atar,MR,,Mauritània,MRT,SAFR,,Àfrica subsahariana,AF,Àfrica,1,"205,181,943","-130,543,928",3,
ATS,431,Artesia,US,US_NM,EUA,USA,NAME,Nou Mèxic,Amèrica del Nord,AM,Amèrica,1,32.84326,-104.3976,3,
ATT,432,Atmautluak,US,US_AK,USA,USA,NAME,Alaska,Amèrica del Nord,AM,Amèrica,1,60.86297,-162.27596,3,
ATU,433,Attu Island,US,US_AK,EUA,USA,NAME,Alaska,Amèrica del Nord,AM,Amèrica,1,48.51145,-122.63694,3,
ATV,434,Ati,TD,,Chad,TCD,SAFR,,Àfrica subsahariana,AF,Àfrica,1,13.2125691,18.3396857,3,
ATW,435,Appleton,US,US_WI,EUA,USA,NAME,Wisconsin,Amèrica del Nord,AM,Amèrica,1,44.26178,-88.41714,3,
ATX,436,Atbasar,KZ,,Kazakhstan,KAZ,EEUR,,Europa central/oriental,EU,Europa,1,51.8099624,68.3584729,3,
ATY,437,Watertown,US,US_SD,EUA,USA,NAME,Dakota del Sud,Amèrica del Nord,AM,Amèrica,1,44.9006,-97.1058,3,
ATZ,438,Assiut,EG,,Egipte,EGY,MIDE,,Orient Mitjà,AS,Àsia,1,27.1758583,31.20061226,3,
AUA,439,Aruba,AW,,Aruba,ABW,CRBN,,Carib,AM,Amèrica,1,32.66512,-114.51508,3,
AUB,440,Itauba,BR,BR_MT,Brasil,BRA,SAME,Mato Grosso,Amèrica del Sud,AM,Amèrica,1,-3.6102693,-64.3269935,3,
AUC,441,Arauca,CO,,Colòmbia,COL,SAME,,Amèrica del Sud,AM,Amèrica,1,"70,851,994","-707,577,762",3,
AUD,442,Augustus Downs,AU,AUQLD,Austràlia,AUS,OCEA,Queensland,Oceània,OC,Oceània,1,"-1,854,425,685","1,398,707,649",3,
AUE,443,Abu Rudeis,EG,,Egipte,EGY,MIDE,,Orient Mitjà,AS,Àsia,1,28.8933735,33.1847458,3,
AUF,444,Auxerre,FR,FRBUR,França,FRA,WEUR,Borgonya,Europa Occidental,EU,Europa,1,47.7961287,3.570579,3,
AUG,445,Augusta,US,US_ME,EUA,USA,NAME,Maine,Amèrica del Nord,AM,Amèrica,1,41.3992482,-75.5865764,3,
AUH,446,Abu Dhabi,AE,,Emirats Àrabs Units,ARE,MIDE,,Orient Mitjà,AS,Àsia,1,24.4538352,54.3774014,3,
AUI,447,Aua Island,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,-1.46573165,143.0624465,3,
AUJ,448,Ambunti,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,-4.218041,142.822534,3,
AUK,449,Alakanuk,US,US_AK,EUA,USA,NAME,Alaska,Amèrica del Nord,AM,Amèrica,1,48.0029136,-90.80939356,3,
AUL,450,Aur Island,MH,,Marshall Islands,MHL,OCEA,,Oceània,OC,Oceània,1,8.1381881,171.176624,3,
AUM,451,Austin,US,US_MN,EUA,USA,NAME,Minnesota,Amèrica del Nord,AM,Amèrica,1,29.68269075,-98.66665204,3,
AUN,452,Auburn,US,US_CA,EUA,USA,NAME,Califòrnia,Amèrica del Nord,AM,Amèrica,1,38.8962,-121.07887,3,
AUO,453,Auburn,US,US_AL,EUA,USA,NAME,Alabama,Amèrica del Nord,AM,Amèrica,1,32.60832,-85.48173,3,
AUP,454,Agaun,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,"-99,306,654","1,493,879,005",3,
AUQ,455,Atuona,PF,,Polinèsia Francesa,PYF,OCEA,,Oceània,OC,Oceània,1,"-980,347","-13,903,813",3,
AUR,456,Aurillac,FR,FRAUR,França,FRA,WEUR,Alvèrnia i Roine-Alps,Europa Occidental,EU,Europa,1,44.9285441,2.4433101,3,
AUS,457,Austin,US,US_TX,EUA,USA,NAME,Texas,Amèrica del Nord,AM,Amèrica,1,30.2109661,-97.66715896,3,
AUT,458,Atauro,TL,,Timor Oriental,TLS,SEAS,,Sud-est asiàtic,AS,Àsia,1,-8.21793245,125.581923,3,
AUU,459,Aurukun,AU,AUQLD,Austràlia,AUS,OCEA,Queensland,Oceània,OC,Oceània,1,-13.6020675,141.7706849,3,
AUV,460,Aumo,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,"-57,625,219","1,484,346,477",3,
AUW,461,Wausau,US,US_WI,EUA,USA,NAME,Wisconsin,Amèrica del Nord,AM,Amèrica,1,44.95953,-89.63031,3,
AUX,462,Araguaina,BR,BR_TO,Brasil,BRA,SAME,Tocantins,Amèrica del Sud,AM,Amèrica,1,-7.193241,-48.2018597,3,
AUY,463,Aneityum,VU,,Vanuatu,VUT,OCEA,,Oceània,OC,Oceània,1,-20.1937608,169.825176,3,
AUZ,464,Aurora,US,US_IL,USA,USA,NAME,Illinois,Amèrica del Nord,AM,Amèrica,1,41.7571,-88.31613,3,
AVA,465,Anshun,CN,CNGUI,Xina,CHN,NEAS,Guizhou,Nord-est asiàtic,AS,Àsia,1,26.254911,105.9437773,3,
AVB,466,Aviano,IT,,Itàlia,ITA,SEUR,,Sud d'Europa,EU,Europa,1,46.0685438,12.5891138,3,
AVF,467,Avoriaz,FR,FRAUR,França,FRA,WEUR,Alvèrnia i Roine-Alps,Europa Occidental,EU,Europa,1,46.1925439,6.7702857,3,
AVG,468,Alvèrnia,AU,AUNOT,Austràlia,AUS,OCEA,Territori del Nord,Oceània,OC,Oceània,1,"-156,834,315","1,300,092,471",3,
AVI,469,Ciego De Avila,CU,,Cuba,CUB,CRBN,,Caribbean,AM,Amèrica,1,21.8420439,-78.7602038,3,
AVJ,470,Àvila,ES,ESCAL,Espanya,ESP,SEUR,Castella i Lleó,Sud d'Europa,EU,Europa,1,40.6563873,-4.7004328,3,
AVK,471,Arvaikheer,MN,,Mongòlia,MNG,NEAS,,Nord-est asiàtic,AS,Àsia,1,46.2681885,102.7863148,3,
AVL,472,Asheville,US,US_NC,EUA,USA,NAME,Carolina del Nord,Amèrica del Nord,AM,Amèrica,1,35.59866,-82.55338,3,
AVN,473,Avinyó,FR,FRPRO,França,FRA,WEUR,Provence Alpes Cote d'Azur,Europa Occidental,EU,Europa,1,43.9492493,4.8059012,3,
AVO,474,Avon Park,US,US_FL,EUA,USA,NAME,Florida,Amèrica del Nord,AM,Amèrica,1,27.59561,-81.50663,3,
AVP,475,Wilkes-Barre,US,US_PA,EUA,USA,NAME,Pensilvània,Amèrica del Nord,AM,Amèrica,1,41.24323,-75.87594,3,
AVR,476,Alverca,PT,,Portugal,PRT,SEUR,,Sud d'Europa,EU,Europa,1,38.8935253,-9.0396136,3,
AVU,477,Avu Avu,SB,,Illes Salomó,SLB,OCEA,,Oceània,OC,Oceània,1,-9.6188478,160.1732178,3,
MEL,478,Melbourne,AU,AUVIC,Austràlia,AUS,OCEA,Victòria,Oceània,OC,Oceània,1,-37.8142454,144.9631732,3,
TUS,479,Tucson,US,US_AZ,EUA,USA,NAME,Arizona,Amèrica del Nord,AM,Amèrica,1,32.22177,-110.96977,3,
AVX,480,Catalina Island,US,US_CA,USA,USA,NAME,Califòrnia,Amèrica del Nord,AM,Amèrica,1,38.29122,-76.50493,3,
AWA,481,Awasa,ET,,Etiòpia,ETH,SAFR,,Àfrica subsahariana,AF,Àfrica,1,7.0481029,38.47861,3,
AWB,482,Awaba,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,-8.0124801,142.753344,3,
AWD,483,Aniwa,VU,,Vanuatu,VUT,OCEA,,Oceània,OC,Oceània,1,-19.2440812,169.6009107,3,
AWE,484,Alowe,GA,,Gabon,GAB,SAFR,,Àfrica subsahariana,AF,Àfrica,1,"4,022,516","-7,512,472",3,
AWK,485,Wake Island,US,US_HI,EUA,USA,NAME,Hawaii,Amèrica del Nord,AM,Amèrica,1,19.14938,-155.76148,3,
AWM,486,West Memphis,US,US_AR,EUA,USA,NAME,Arkansas,Amèrica del Nord,AM,Amèrica,1,35.14652,-90.19092,3,
AWN,487,Alton Downs,AU,AUSOA,Austràlia,AUS,OCEA,Austràlia Meridional,Oceània,OC,Oceània,1,-23.2972417,150.3766711,3,
AWP,488,Austral Downs,AU,AUNOT,Austràlia,AUS,OCEA,Territori del Nord,Oceània,OC,Oceània,1,"-2,050,207,855","1,377,672,728",3,
AWR,489,Awar,PG,,Papua Nova Guinea,PNG,OCEA,,Oceània,OC,Oceània,1,-4.1432493,144.8421025,3,
AWZ,490,Ahwaz,IR,,Iran,IRN,SASI,,Àsia del Sud,AS,Àsia,1,31.3230637,48.67932,3,
AXA,491,Anguila,AI,,Anguila,AIA,CRBN,,Carib,AM,Amèrica,1,18.2179997,-63.0400727,3,
AXB,492,Alexandria Bay,US,US_NY,EUA,USA,NAME,Nova York,Amèrica del Nord,AM,Amèrica,1,44.3337,-75.90929,3,
AXC,493,Aramac,AU,AUQLD,Austràlia,AUS,OCEA,Queensland,Oceània,OC,Oceània,1,-22.9710251,145.2438709,3,
AXD,494,Alexandroupolis,GR,,Grècia,GRC,SEUR,,Sud d'Europa,EU,Europa,1,40.84532,25.87524,3,
AXE,495,Xanxere,BR,BR_SC,Brasil,BRA,SAME,Santa Catarina,Amèrica del Sud,AM,Amèrica,1,-26.8748603,-52.4035964,3,
AXF,496,Alxa Left Banner,CN,CNMOG,Xina,CHN,NEAS,Mongòlia Interior,Nord-est asiàtic,AS,Àsia,1,38.832365,105.6605393,3,
AXG,497,Algona,US,US_IA,USA,USA,NAME,Iowa,Amèrica del Nord,AM,Amèrica,1,43.06887,-94.22749,3,
AXJ,498,Amakusa,JP,,Japó,JPN,NEAS,,Nord-est asiàtic,AS,Àsia,1,32.4585127,130.1930487,3,
AXK,499,Ataq,YE,,Iemen,YEM,MIDE,,Orient Mitjà,AS,Àsia,1,14.5277354,46.8453776,3,
AXL,500,Alexandria,AU,AUNOT,Austràlia,AUS,OCEA,Territori del Nord,Oceània,OC,Oceània,1,-33.9091568,151.1921281,3,
AXM,501,Armènia,CO,,Colòmbia,COL,SAME,,Amèrica del Sud,AM,Amèrica,1,"4,536,307","-756,723,751",3,
AXN,502,Alexandria,US,US_MN,EUA,USA,NAME,Minnesota,Amèrica del Nord,AM,Amèrica,1,45.88939,-95.36634,3,
AXP,503,Spring Point,BS,,Bahames,BHS,CRBN,,Carib,AM,Amèrica,1,22.43225,-73.9803718,3,
AXR,504,Arutua,PF,,Polinèsia Francesa,PYF,OCEA,,Oceània,OC,Oceània,1,"-1,531,321","-14,631,633",3,
LTS,505,Altus,US,US_OK,EUA,USA,NAME,Oklahoma,Amèrica del Nord,AM,Amèrica,1,34.63783,-99.33374,3,
AXT,506,Akita,JP,,Japó,JPN,NEAS,,Nord-est asiàtic,AS,Àsia,1,39.7197629,140.1034669,3,
AXU,507,Axum,ET,,Etiòpia,ETH,SAFR,,Àfrica subsahariana,AF,Àfrica,1,14.1220982,38.7321749,3,
AXV,508,Wapakoneta,US,US_OH,EUA,USA,NAME,Ohio,Amèrica del Nord,AM,Amèrica,1,40.56789,-84.19476,3,
AXX,509,Angel Fire,US,US_NM,EUA,USA,NAME,Nou Mèxic,Amèrica del Nord,AM,Amèrica,1,36.39537,-105.28643,3,
AYA,510,Ayapel,CO,,Colòmbia,COL,SAME,,Amèrica del Sud,AM,Amèrica,1,8.3116711,-75.1445022,3,
AYC,511,Ayacucho,CO,,Colòmbia,COL,SAME,,Amèrica del Sud,AM,Amèrica,1,8.6003218,-73.586433,3,
AYD,512,Alroy Downs,AU,AUNOT,Austràlia,AUS,OCEA,Territori del Nord,Oceània,OC,Oceània,1,-19.2955461,136.0717992,3,
AYG,513,Yaguara,CO,,Colòmbia,COL,SAME,,Amèrica del Sud,AM,Amèrica,1,"377,282,985","-7,535,004,149",3,
AYI,514,Yari,CO,,Colòmbia,COL,SAME,,Amèrica del Sud,AM,Amèrica,1,"-0,5149951","-7,233,878,218",3,
AYK,515,Arkalyk,KZ,,Kazakhstan,KAZ,EEUR,,Europa central/oriental,EU,Europa,1,50.253281,66.914993,3,
AYL,516,Anthony Lagoon,AU,AUNOT,Austràlia,AUS,OCEA,Territori del Nord,Oceània,OC,Oceània,1,-17.9812106,135.5607712,3,
