AIRLINEIATACODE,ID,AIRLINENAME,BIZMODEL,ACTIVESTATUS,GROUPNAME,HUBAIRPORTIATACODE,COUNTRYCODE,STARTDATE,ENDDATE,LOAD_TIME
BV,231,Blue Panorama Airlines,Full Service Carrier,1,Blue Panorama Airlines S.P.A.,FCO,IT,01/01/2000,31/12/2199,
BW,232,Caribbean Airlines,Full Service Carrier,1,,POS,TT,01/01/2000,31/12/2199,
BX,233,Air Busan,Low Cost Carrier,1,Kumho Asiana Group,PUS,KR,01/01/2000,31/12/2199,
BY,234,Tui Airways Ltd,Charter,1,Tui Group,LTN,GB,01/01/2000,31/12/2199,
BZ,235,Bluebird Airways,Charter,1,,HER,GR,01/01/2000,31/12/2199,
C0,236,One Caribbean,Charter,1,,SVD,VC,01/01/2000,31/12/2199,
C2,237,Ceiba Intercontinental,Full Service Carrier,1,,SSG,GQ,01/01/2000,31/12/2199,
C3,238,Trade Air Ltd,Charter,1,,ZAG,HR,01/01/2000,31/12/2199,
C5,239,Commutair,Regional/Commuter,1,,IAD,US,01/01/2000,31/12/2199,
C7,240,Cinnamon Air,Regional/Commuter,1,,CMB,LK,04/07/2013,31/12/2199,
C8,241,Cronos Airlines,Regional/Commuter,1,,SSG,GQ,01/01/2000,31/12/2199,
C9,242,Alphaland Aviation, Inc,Charter,1,,,PH,01/01/2000,31/12/2199,
CA,243,Air China,Full Service Carrier,1,Air China Limited,PEK,CN,01/01/2000,31/12/2199,
CC,244,Cm Airlines,Regional/Commuter,1,,TGU,HN,01/01/2000,31/12/2199,
CD,245,Corendon Dutch Airlines,Charter,1,,AMS,NL,01/01/2000,31/12/2199,
CE,246,Chalair Aviation,Regional/Commuter,1,,ORY,FR,01/01/2000,31/12/2199,
CG,247,Png Air (Airlines Png),Regional/Commuter,1,,POM,PG,01/01/2000,31/12/2199,
CH,248,Bemidji Airlines,Charter,1,,BJI,US,01/01/2000,31/12/2199,
CI,249,China Airlines,Full Service Carrier,1,China Airlines Group,TPE,TW,16/12/1959,31/12/2199,
CJ,250,Ba Cityflyer,Regional/Commuter,1,International Airlines Group (Iag),LCY,GB,01/01/2000,31/12/2199,
CL,251,Lufthansa Cityline,Regional/Commuter,1,Deutsche Lufthansa Ag,CGN,DE,01/01/2000,31/12/2199,
CM,252,Copa Airlines,Full Service Carrier,1,Copa Holdings S.A.,PTY,PA,01/01/2000,31/12/2199,
CN,253,Grand China Air,Full Service Carrier,1,Hainan Airlines Group,PEK,CN,01/01/2000,31/12/2199,
CQ,254,Coastal Aviation,Charter,1,,DAR,TZ,01/01/2000,31/12/2199,
CS,255,Comlux Aruba Nv,Charter,1,,,AW,01/01/2000,31/12/2199,
CU,256,Cubana De Aviacion,Full Service Carrier,1,,HAV,CU,01/01/2000,31/12/2199,
CX,257,Cathay Pacific,Full Service Carrier,1,Cathay Pacific Group,HKG,HK,01/01/2000,31/12/2199,
CY,258,Charlie Airlines,Full Service Carrier,1,,LCA,CY,01/06/2017,31/12/2199,
CZ,259,China Southern Airlines,Full Service Carrier,1,China Southern Air Holding Company,CAN,CN,01/01/2000,31/12/2199,
D1,260,Air4 Passenger Service Systems,Other,1,,,US,01/01/2000,31/12/2199,
D2,261,Severstal Aircompany,Regional/Commuter,1,,CEE,RU,21/05/2002,31/12/2199,
D3,262,Daallo Airlines,Regional/Commuter,1,African Airways Alliance,JIB,DJ,20/03/1991,31/12/2199,
D4,263,Alidaunia,Charter,1,,FOG,IT,01/01/2000,31/12/2199,
D6,264,Servicios Aereos Geca S.A.,,1,,,DO,01/01/2000,31/12/2199,
D7,265,Airasia X,Low Cost Carrier,1,Airasia X Group,KUL,MY,01/01/2000,31/12/2199,
D8,266,Norwegian Air International,Low Cost Carrier,1,Norwegian Group,DUB,IE,03/04/2013,31/12/2199,
D9,267,Daallo Airlines(Somalia),Full Service Carrier,1,,,SO,01/01/2000,31/12/2199,
DB,268,Maleth-Aero,Charter,1,,MLA,MT,01/01/2000,31/12/2199,
DD,269,Nok Air,Low Cost Carrier,1,Thai Airways Group,DMK,TH,01/01/2000,31/12/2199,
DE,270,Condor Flugdienst,Full Service Carrier,1,,FRA,DE,01/01/2000,31/12/2199,
DG,271,Cebgo,Low Cost Carrier,1,Cebu Pacific Group,MNL,PH,01/01/2000,31/12/2199,
DH,272,Norwegian Air Norway As,Low Cost Carrier,1,,,NO,01/01/2000,31/12/2199,
DH,273,Douniah Airlines,Regional/Commuter,1,,BKO,ML,01/01/2000,31/12/2199,
DK,274,Sunclass Airlines,Charter,1,,CPH,DK,01/01/2000,31/12/2199,
DL,275,Delta Air Lines,Full Service Carrier,1,Delta Air Lines Inc.,ATL,US,01/01/2000,31/12/2199,
DN,276,Air Deccan,Low Cost Carrier,1,,BLR,IN,23/12/2017,31/12/2199,
DO,277,Sky High Aviation Services,Regional/Commuter,1,,SDQ,DO,01/01/2000,31/12/2199,
DP,278,Pobeda,Low Cost Carrier,1,Aeroflot Group,VKO,RU,01/12/2014,31/12/2199,
DQ,279,Alexandria Airlines,Charter,1,,CAI,EG,01/01/2000,31/12/2199,
DR,280,Ruili Airlines,Full Service Carrier,1,,KMG,CN,18/05/2014,31/12/2199,
DS,281,Easyjet Switzerland,Low Cost Carrier,1,Easyjet Plc,GVA,CH,01/01/2000,31/12/2199,
DT,282,Taag,Full Service Carrier,1,,LAD,AO,01/01/2000,31/12/2199,
