AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
PYH,6759,SVPA,,Puerto Ayacucho Airport,PYH,Puerto Ayacucho,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,5.6,-67.5,
PYJ,6760,UERP,,Polyarnyj Airport,PYJ,Polyarnyj,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,66.416667,112.05,
PYK,6761,,,Payam Airport,PYK,Karaj,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,35.77888889,50.82222222,
PYL,6762,,,Perry Island Sea Plane Base,PYL,Perry Island,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,60.685287,-147.918736,
PYM,6763,KPYM,,Plymouth Municipal Airport,PYM,Plymouth,US,US_MA,U.S.A.,USA,NAME,Massachusetts,North America,AM,America,1,41.909,-70.728798,
PYN,6764,,,Payan Airport,PYN,Payan,CO,,Colombia,COL,SAME,,South America,AM,America,1,1.816667,-78.133333,
PYO,6765,,,Putumayo Airport,PYO,Putumayo,EC,,Ecuador,ECU,SAME,,South America,AM,America,1,0.083333,-75.9,
PYR,6766,LGAD,,Andravida Air Base,PYR,Pyrgos,GR,,Greece,GRC,SEUR,,Southern Europe,EU,Europe,1,37.933333,21.283333,
PYS,6767,,,Paradise Skypark,PYS,Paradise,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,39.710556,-121.616389,
PYT,6768,SNZR,,Paracatu Airport,PYT,Paracatu,BR,BR_MG,Brazil,BRA,SAME,Minas Gerais,South America,AM,America,1,-17.243056,-46.883333,
PYV,6769,,,Yaviza Airport,PYV,Yaviza,PA,,Panama,PAN,CAME,,Central America,AM,America,1,8.152744,-77.689836,
PYX,6770,,,Pattaya Airport,PYX,Pattaya,TH,,Thailand,THA,SEAS,,South East Asia,AS,Asia,1,12.95,100.883333,
PYY,6771,VTCI,,Pai Airport,PYY,Pai,TH,,Thailand,THA,SEAS,,South East Asia,AS,Asia,1,19.372789,98.436106,
PZA,6772,SKPZ,,Casanare Airport,PZA,Paz De Ariporo,CO,,Colombia,COL,SAME,,South America,AM,America,1,5.877778,-71.885,
PZB,6773,FAPM,,Pietermaritzburg Airport,PZB,Pietermaritzburg,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-29.643047,30.396739,
PZC,6774,,,Penzance - Railway Station,PZE,Penzance,GB,GBENG,United Kingdom,GBR,NEUR,England,Northern Europe,EU,Europe,1,50.12222222,-5.532222222,
PZE,6775,EGHK,,Penzance Heliport,PZE,Penzance,GB,GBENG,United Kingdom,GBR,NEUR,England,Northern Europe,EU,Europe,1,50.127545,-5.518258,
PZH,6776,OPZB,,Zhob Airport,PZH,Zhob,PK,,Pakistan,PAK,SASI,,South Asia,AS,Asia,1,31.358241,69.46392,
PZI,6777,ZUZH,,Pan Zhi Hua Bao An Ying,PZI,Pan Zhi Hua,CN,CNSIC,China,CHN,NEAS,Sichuan,North East Asia,AS,Asia,1,26.538734,101.793861,
PZJ,6778,,,Portoroz - Portoroz Bus Station,POW,Portoroz,SI,,Slovenia,SVN,SEUR,,Southern Europe,EU,Europe,1,45.51333333,13.595,
