AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
PUC,6693,KPUC,,Carbon County Regional Airport,PUC,Price,US,US_UT,U.S.A.,USA,NAME,Utah,North America,AM,America,1,39.609722,-110.752778,
PUD,6694,SAWD,,Puerto Deseado Airport,PUD,Puerto Deseado,AR,AR_SC,Argentina,ARG,SAME,Santa Cruz,South America,AM,America,1,-47.75,-65.916667,
PUE,6695,MPOA,,Puerto Obaldia Airport,PUE,Puerto Obaldia,PA,,Panama,PAN,CAME,,Central America,AM,America,1,8.66694,-77.41694,
PUF,6696,LFBP,,The Pau-Pyrenees International Airport,PUF,Pau,FR,FRAQU,France,FRA,WEUR,New Aquitaine,Western Europe,EU,Europe,1,43.382348,-0.413573,
PUG,6697,YPAG,,Port Augusta Airport,PUG,Port Augusta,AU,AUSOA,Australia,AUS,OCEA,South Australia,Oceania,OC,Oceania,1,-32.50721,137.715382,
PUI,6698,,,Pureni Airport,PUI,Pureni,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-5.833333,142.833333,
PUJ,6699,MDPC,,Punta Cana International Airport,PUJ,Punta Cana,DO,,Dominican Republic,DOM,CRBN,,Caribbean,AM,America,1,18.562477,-68.363998,
PUK,6700,NTGQ,,Pukarua Airport,PUK,Pukarua -  Tuamoto Island,PF,,French Polynesia,PYF,OCEA,,Oceania,OC,Oceania,1,-18.296126,-137.017844,
PUL,6701,,,Poulsbo Airport,PUL,Poulsbo,US,US_WA,U.S.A.,USA,NAME,Washington,North America,AM,America,1,47.733333,-122.65,
PUN,6702,FZOP,,Punia Airport,PUN,Punia,CD,,Congo,COD,SAFR,,Subsaharan Africa,AF,Africa,1,-1.366667,26.333333,
PUP,6703,,,Po Airport,PUP,Po,BF,,Burkina Faso,BFA,SAFR,,Subsaharan Africa,AF,Africa,1,11.183333,-1.166667,
PUQ,6704,SCCI,,Pres Ibanez Airport,PUQ,Punta Arenas,CL,,Chile,CHL,SAME,,South America,AM,America,1,-53.005357,-70.843074,
PUR,6705,,,Puerto Rico Airport,PUR,Puerto Rico,BO,,Bolivia,BOL,SAME,,South America,AM,America,1,-11.1125,-67.52,
PUS,6706,RKPK,,Gimhae International Airport,PUS,Busan,KR,,South Korea,KOR,NEAS,,North East Asia,AS,Asia,1,35.179319,128.948728,
PUT,6707,VOPN,,Puttaprathi Airport,PUT,Puttaparthi,IN,INDNI,India,IND,SASI,Andhra Pradesh,South Asia,AS,Asia,1,14.133333,77.783333,
PUU,6708,SKAS,,Tres de Mayo Airport,PUU,Puerto Asis,CO,,Colombia,COL,SAME,,South America,AM,America,1,0.533333,-76.533333,
PUV,6709,,,Poum Airport,PUV,Poum,NC,,New Caledonia,NCL,OCEA,,Oceania,OC,Oceania,1,-20.294444,164.101389,
PUW,6710,KPUW,,Pullman-Moscow Regional Airport,PUW,Pullman,US,US_WA,U.S.A.,USA,NAME,Washington,North America,AM,America,1,46.744722,-117.105,
PUX,6711,,,El Mirador Airport,PUX,Puerto Varas,CL,,Chile,CHL,SAME,,South America,AM,America,1,-40.340278,-72.944444,
PUY,6712,LDPL,,Pula Airport,PUY,Pula,HR,,Croatia,HRV,SEUR,,Southern Europe,EU,Europe,1,44.891667,13.923611,
PUZ,6713,MNPC,,Puerto Cabezas Airport,PUZ,Puerto Cabezas,NI,,Nicaragua,NIC,CAME,,Central America,AM,America,1,14.046136,-83.383661,
PVA,6714,SKPV,,Providencia Airport,PVA,Providencia,CO,,Colombia,COL,SAME,,South America,AM,America,1,13.35,-81.35,
PVB,6715,,,Punta Del Este - Fluvial Bus Station,PDP,Punta Del Este,UY,,Uruguay,URY,SAME,,South America,AM,America,1,-34.95694444,-54.93888889,
PVC,6716,KPVC,,Provincetown Airport,PVC,Provincetown,US,US_MA,U.S.A.,USA,NAME,Massachusetts,North America,AM,America,1,42.071944,-70.221667,
PVD,6717,KPVD,,Theodore Francis Green Memorial State Airport,PVD,Providence,US,US_RI,U.S.A.,USA,NAME,Rhode Island,North America,AM,America,1,41.726312,-71.436317,
PVE,6718,,,El Porvenir Airport,PVE,El Porvenir,PA,,Panama,PAN,CAME,,Central America,AM,America,1,9.556982,-78.945754,
PVF,6719,KPVF,,Placerville Airport,PVF,Placerville,US,US_CA,U.S.A.,USA,NAME,California,North America,AM,America,1,38.72123,-120.757327,
PVG,6720,ZSPD,,Shanghai Pudong International Airport,SHA,Shanghai,CN,CNSAN,China,CHN,NEAS,Shanghai,North East Asia,AS,Asia,1,31.151824,121.799808,
PVH,6721,SBPV,,Porto Velho International Airport,PVH,Porto Velho,BR,BR_RO,Brazil,BRA,SAME,Rondonia,South America,AM,America,1,-8.714311,-63.898307,
PVI,6722,SSPI,,Paranavia Airport,PVI,Paranavia,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-23.066667,-52.466667,
PVK,6723,LGPZ,,Aktion Airport,PVK,Preveza,GR,,Greece,GRC,SEUR,,Southern Europe,EU,Europe,1,38.926389,20.765833,
PVL,6724,KPBX,,Pike County Airport,PVL,Pikeville,US,US_KY,U.S.A.,USA,NAME,Kentucky,North America,AM,America,1,37.559214,-82.564639,
PVO,6725,SEPV,,Portoviejo Airport,PVO,Portoviejo,EC,,Ecuador,ECU,SAME,,South America,AM,America,1,-1.033333,-80.466667,
PVR,6726,MMPR,,Gustavo Diaz Ordaz International Airport,PVR,Puerto Vallarta,MX,,Mexico,MEX,NAME,,North America,AM,America,1,20.678297,-105.248979,
PVS,6727,UHMD,,Provideniya Bay Airport,PVS,Provideniya,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,64.383333,-173.243333,
PVU,6728,KPVU,,Provo Airport,PVU,Provo,US,US_UT,U.S.A.,USA,NAME,Utah,North America,AM,America,1,40.218056,-111.722222,
PVW,6729,KPVW,,Hale County Airport,PVW,Plainview,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,34.183333,-101.716667,
PWA,6730,KPWA,,Wiley Post Airport,OKC,Oklahoma City,US,US_OK,U.S.A.,USA,NAME,Oklahoma,North America,AM,America,1,35.535143,-97.646416,
PWD,6731,KPWD,,Sherwood Airport,PWD,Plentywood,US,US_MT,U.S.A.,USA,NAME,Montana,North America,AM,America,1,48.783333,-104.566667,
